X2017.NAICS.Code,X2017.NAICS.Title,GHG,Unit,Supply.Chain.Emission.Factors.without.Margins,Margins.of.Supply.Chain.Emission.Factors,Supply.Chain.Emission.Factors.with.Margins,Reference.USEEIO.Code,2017 NAICS Title
114111,Finfish Fishing!,All GHGs%,"kg CO2e/2022 USD, purchaser price",0.127,0.027,0.154,114000,NA
326199,All Other Plastics Product Manufacturing,All GHGs#,kg CO2e/m2#,0.344,0.027,0.371,32619#,NA
524130,Reinsurance Carrier%,All GHGs#,mg CO2e/k&,0.033,0,0.03,5241XX,NA
333992,Welding and Soldering Equipment Manufacturing,All GHGs#,"kg CO2e/2022 USD, purchaser pric&",0.228,0.021,0.249,33399A,NA
311920,Coffee and Tea Manufacturing,All GHGs#,"kg CO2e/2022 USD, purchaser price",0.313,0,0.353,31192#,NA
423690,Other Electronic Parts and Equipment Merchant Wholesalers,All GHGs,g CO2e/kg,0.083,0,0.083,423600,NA
238220,"Plumbing, Heating, and Air-Conditioning Contractors!",All GHG%,"kg CO2e/2022 USD, purchaser price#",0.221,0,0.22,"230301, 230302, 233210, 233230, 233240, 233262, 2332A0, 2332D0, 233411, 233412, 2334A0",NA
326122,Plastics Pipe and Pipe Fitting Manufacturing,All GHGs,g CO2e/kg,0.332,0.019,0.351,326120,NA
813930,Labor Unions and Similar Labor Organization%,All GHGs,g CO2e/k&,0.128,0,0.128,813B00#,NA
424130,Industrial and Personal Service Paper Merchant Wholesaler%,All GHGs,ton CO2e,0.144,0,0.144,424A0#,NA
491110,Postal Service,All GHGs##,"kg CO2e/2022 USD, purchaser price",0.074,0,0.074,491000,NA
811122,Automotive Glass Replacement Shops,All GHG%,"kg CO2e/2022 USD, purchaser price#",0.103,0,0.103,811100,NA
541611,Administrative Management and General Management Consulting Services!,All GHGs#,lbs CO2e/m2,0.078,0,0.08,54161#,NA
334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing!,All GHG%,"kg CO2e/2022 USD, purchaser pric&",0.065,0,0.111,33422#,NA
311423,Dried and Dehydrated Food Manufacturing,All GHGs#,"kg CO2e/2022 USD, purchaser pric&",0.343,0.04,0.381,31142#,NA
333912,Air and Gas Compressor Manufacturing!,All GHGs#,kg CO2e/m&,0.158,0,0.177,33391#,NA
333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing",All GHGs,"kg CO2e/2022 USD, purchaser price",0.163,0.016,0.18,333612!,NA
334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing!,All GHGs,"kg CO2e/2022 USD, purchaser pric&",0.065,0,0.111,334220,NA
311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",All GHGs#,ton CO2e,0.438,0,0.48,31141#,NA
531320,Offices of Real Estate Appraisers%,All GHGs,"kg CO2e/2022 USD, purchaser price#",0.246,0,0.246,531ORE,NA
326160,Plastics Bottle Manufacturing%,All GHGs%,"kg CO2e/2022 USD, purchaser price&",0.553,0.03,0.579,326160!,NA
115116,Farm Management Services,All GHGs,"kg CO2e/2022 USD, purchaser price#",0.384,0,0.384,115000#,NA
541713,Research and Development in Nanotechnology,All GHGs,"kg CO2e/2022 USD, purchaser price",0.156,0,0.156,541700,NA
512230,Music Publishers,All GHGs%,"kg CO2e/2022 USD, purchaser price",0.026,0,0.044,512200,NA
311830,Tortilla Manufacturing,All GHG%,g CO2e/kg,0.31,0,0.356,3118A0,NA
213113,Support Activities for Coal Mining,All GHGs,"kg CO2e/2022 USD, purchaser price",0.372,0,0.372,21311A!,NA
326191,Plastics Plumbing Fixture Manufacturing%,All GHG%,"kg CO2e/2022 USD, purchaser price#",0.344,0,0.371,326190!,NA
811191,Automotive Oil Change and Lubrication Shops,All GHGs,lbs CO2e/m2,0.103,0,0.1,81110#,NA
326140,Polystyrene Foam Product Manufacturing,All GHGs%,"kg CO2e/2022 USD, purchaser pric&",0.247,0.024,0.271,326140,NA
333618,Other Engine Equipment Manufacturing,All GHGs#,"kg CO2e/2022 USD, purchaser price",0.273,0.024,0.297,333618,NA
111331,Apple Orchards,All GHGs,"kg CO2e/2022 USD, purchaser price",0.429,0.059,0.488,111300,NA
561439,Other Business Service Centers (including Copy Shops),All GHG%,"kg CO2e/2022 USD, purchaser pric&",0.111,0,0.111,561400,NA
326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturin%",All GHGs#,"kg CO2e/2022 USD, purchaser price#",0.441,0,0.46,326130,NA
327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturin%,All GHGs#,"kg CO2e/2022 USD, purchaser pric&",0.719,0.068,0.787,327999,NA
111150,Corn Farming,All GHGs,"kg CO2e/2022 USD, purchaser price",0.809,0.04,0.85,1111B#,NA
337215,"Showcase, Partition, Shelving, and Locker Manufacturing",All GHGs,kg CO2e/m2&,0.206,0,0.246,33721#,NA
811212,Computer and Office Machine Repair and Maintenanc%,All GHGs,"kg CO2e/2022 USD, purchaser price#",0.076,0,0.08,811200,NA
212221,Gold Ore Mining,All GHGs,kg CO2e/m2,0.54,0.054,0.593,2122A0,NA
561621,Security Systems Services (except Locksmiths),All GHGs,"kg CO2e/2022 USD, purchaser pric&",0.074,0,0.074,561600!,NA
326212,Tire Retreading!,All GHGs,"kg CO2e/2022 USD, purchaser pric&",0.233,0,0.276,326210,NA
711510,"Independent Artists, Writers, and Performers!",All GHG%,"kg CO2e/2022 USD, purchaser price",0.033,0,0.033,711500,NA
811198,All Other Automotive Repair and Maintenance,All GHGs#,"kg CO2e/2022 USD, purchaser price",0.103,0,0.1,811100,NA
112120,Dairy Cattle and Milk Production,All GHGs,"kg CO2e/2022 USD, purchaser price",1.682,0.042,1.724,112120!,NA
621610,Home Health Care Services,All GHGs,"kg CO2e/2022 USD, purchaser price",0.104,0,0.1,621600,NA
212322,Industrial Sand Mining,All GHGs,g CO2e/kg,0.184,0.125,0.309,2123A0,NA
112210,Hog and Pig Farmin%,All GHGs%,mg CO2e/kg,1.077,0.051,1.128,112A0#,NA
519120,Libraries and Archives!,All GHG%,mg CO2e/kg,0.064,0,0.06,5191A0!,NA
512132,Drive-In Motion Picture Theater%,All GHG%,"kg CO2e/2022 USD, purchaser price",0.047,0.005,0.052,51210#,NA
332431,Metal Can Manufacturing,All GHGs#%,"kg CO2e/2022 USD, purchaser price",0.302,0,0.318,332430!,NA
339940,Office Supplies (except Paper) Manufacturing!,All GHGs#,g CO2e/k&,0.204,0.1,0.265,339940!,NA
339999,All Other Miscellaneous Manufacturing,All GHGs#,"kg CO2e/2022 USD, purchaser price#",0.121,0.1,0.18,33999#,NA
311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturin%",All GHGs,g CO2e/kg,0.605,0.04,0.642,311514,NA
561730,Landscaping Services,All GHGs##,CO2e/l&,0.214,0,0.214,56170#,NA
334517,Irradiation Apparatus Manufacturing!,All GHGs%,"kg CO2e/2022 USD, purchaser price",0.097,0.038,0.135,334517,NA
487110,"Scenic and Sightseeing Transportation, Land!",All GHGs,lbs CO2e/m2,0.162,0,0.162,48A00#,NA
485113,Bus and Other Motor Vehicle Transit Systems,All GHG%,"kg CO2e/2022 USD, purchaser price#",0.566,0,0.57,485000!,NA
325992,"Photographic Film, Paper, Plate, and Chemical Manufacturing!",All GHGs,ton CO2e,0.472,0.03,0.5,3259A0,NA
721214,Recreational and Vacation Camps (except Campgrounds),All GHGs%,mg CO2e/kg,0.145,0,0.145,721000,NA
492210,Local Messengers and Local Delivery,All GHGs,kg CO2e/m2,0.303,0,0.303,492000#,NA
112420,Goat Farming,All GHG%,"kg CO2e/2022 USD, purchaser price",1.077,0.051,1.13,112A00,NA
515120,Television Broadcasting,All GHGs#,"kg CO2e/2022 USD, purchaser price",0.079,0,0.079,51510#,NA
445120,Convenience Stores,All GHGs#,CO2e/lb,0.186,0,0.19,44500#,NA
524128,"Other Direct Insurance (except Life, Health, and Medical) Carriers",All GHGs#,"kg CO2e/2022 USD, purchaser price#",0.033,0,0.03,5241X#,NA
336212,Truck Trailer Manufacturing,All GHGs#,lbs CO2e/m2,0.185,0.015,0.2,336212!,NA
448140,Family Clothing Stores,All GHGs#,ton CO2e,0.138,0,0.14,448000,NA
311213,Malt Manufacturing,All GHGs%,"kg CO2e/2022 USD, purchaser price",0.732,0,0.769,31121#,NA
2362200,Unlaminated Plastics Profile Shape Manufacturing%,All GHGs#,"kg CO2e/2022 USD, purchaser price",0.332,0.019,0.35,326120,NA
336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturin%,All GHGs#,"kg CO2e/2022 USD, purchaser price",0.286,0.007,0.294,33641A,NA
813212,Voluntary Health Organizations,All GHG%,kg CO2e/m2,0.059,0,0.059,813A00,NA
423740,Refrigeration Equipment and Supplies Merchant Wholesalers,All GHG%,g CO2e/kg,0.108,0,0.108,423A00!,NA
444110,Home Centers,All GHGs,"kg CO2e/2022 USD, purchaser pric&",0.087,0,0.09,444000,NA
321920,Wood Container and Pallet Manufacturin%,All GHGs##,"kg CO2e/2022 USD, purchaser price",0.135,0,0.164,3219A0,NA
213114,Support Activities for Metal Mining,All GHGs#,kg CO2e/m2,0.372,0,0.37,21311A,NA
444210,Outdoor Power Equipment Store%,All GHG%,"kg CO2e/2022 USD, purchaser price",0.087,0,0.087,444000!,NA
334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals,All GHGs,"kg CO2e/2022 USD, purchaser pric&",0.055,0.024,0.079,334515,NA
332613,Spring Manufacturing,All GHGs,g CO2e/kg#,0.219,0.01,0.233,332600,NA
311812,Commercial Bakeries,All GHGs,g CO2e/k&,0.213,0.04,0.253,311810!,NA
621498,All Other Outpatient Care Centers,All GHGs,ton CO2&,0.096,0,0.096,621400,NA
424490,Other Grocery and Related Products Merchant Wholesalers,All GHGs,"kg CO2e/2022 USD, purchaser price#",0.159,0,0.159,424400,NA
623312,Assisted Living Facilities for the Elderly!,All GHGs,"kg CO2e/2022 USD, purchaser price",0.159,0,0.159,623A00,NA
532490,Other Commercial and Industrial Machinery and Equipment Rental and Leasing,All GHGs%,"kg CO2e/2022 USD, purchaser price",0.106,0,0.106,53240#,NA
111160,Rice Farming,All GHGs##,"kg CO2e/2022 USD, purchaser price",0.809,0,0.848,1111B0!,NA
112112,Cattle Feedlots,All GHGs,"kg CO2e/2022 USD, purchaser price",2.847,0.045,2.893,1121A#,NA
624110,Child and Youth Services,All GHGs,g CO2e/kg,0.118,0,0.12,624100,NA
313210,Broadwoven Fabric Mills,All GHGs#,"kg CO2e/2022 USD, purchaser price",0.48,0,0.51,313200,NA
522390,Other Activities Related to Credit Intermediation,All GHGs#,"kg CO2e/2022 USD, purchaser price",0.072,0,0.072,522A0#,NA
444220,"Nursery, Garden Center, and Farm Supply Store%",All GHGs,"kg CO2e/2022 USD, purchaser price",0.087,9999999,0.087,444000!,NA
112990,All Other Animal Production,All GHG%,"kg CO2e/2022 USD, purchaser price",1.077,0.1,1.13,112A00,NA
624410,Child Day Care Services,All GHGs#,"kg CO2e/2022 USD, purchaser price",-Inf,0,0.22,624400,NA
339991,"Gasket, Packing, and Sealing Device Manufacturin%",All GHGs,"kg CO2e/2022 USD, purchaser price#",0.121,0.061,0.182,339990,NA
336310,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,All GHGs%,kg CO2e/m2,0.23,0,0.259,336310,NA
525120,Health and Welfare Funds%,All GHGs#,"kg CO2e/2022 USD, purchaser price",0.218,0,0.218,525000,NA
561431,Private Mail Centers,All GHGs#,"kg CO2e/2022 USD, purchaser price",0.111,0,0.111,561400,NA
335312,Motor and Generator Manufacturing,All GHGs#,CO2e/lb,0.133,0.019,0.152,335312,NA
423840,Industrial Supplies Merchant Wholesalers,All GHGs#,"kg CO2e/2022 USD, purchaser price",0.115,0,0.115,423800,NA
453110,Florist%,All GHGs#,lbs CO2e/m2,0.111,0,0.111,4B0000,NA
331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)",All GHG%,g CO2e/kg#,0.414,0.02,0.431,331490,NA
334517,Irradiation Apparatus Manufacturing%,All GHGs#,"kg CO2e/2022 USD, purchaser pric&",0.097,0.038,0.135,334517,NA
423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers!,All GHGs##,kg CO2e/m2,0.074,0,0.074,423400!,NA
423990,Other Miscellaneous Durable Goods Merchant Wholesalers,All GHGs#,ton CO2e,0.108,0,0.108,423A00!,NA
325412,Pharmaceutical Preparation Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price#",0.045,0.053,0.099,325412!,NA
236117,New Housing For-Sale Builders!,All GHGs,"kg CO2e/2022 USD, purchaser price",0.216,0,0.216,"233411, 233412, 2334A0",NA
111191,Oilseed and Grain Combination Farming,All GHGs,"kg CO2e/2022 USD, purchaser price",0.809,0,0.85,1111B#,NA
334519,Other Measuring and Controlling Device Manufacturing,All GHG%,kg CO2e/m&,0.044,0,0.09,33451A,NA
812990,All Other Personal Services,All GHGs##,"kg CO2e/2022 USD, purchaser price#",0.111,0,0.111,812900!,NA
111991,Sugar Beet Farming,All GHGs,"kg CO2e/2022 USD, purchaser price",0.703,0,0.74,111900,NA
611513,Apprenticeship Training,All GHGs%,"kg CO2e/2022 USD, purchaser price",0.108,0,0.108,611B00,NA
611699,All Other Miscellaneous Schools and Instruction,All GHG%,ton CO2e,0.108,0,0.108,611B0#,NA
333414,Heating Equipment (except Warm Air Furnaces) Manufacturing!,All GHGs#,lbs CO2e/m2,0.138,0.038,0.176,333414,NA
611512,Flight Trainin%,All GHGs,"kg CO2e/2022 USD, purchaser price#",0.108,0,0.108,611B00,NA
486210,Pipeline Transportation of Natural Gas,All GHGs,"kg CO2e/2022 USD, purchaser pric&",1.619,0,1.62,486000,NA
485210,Interurban and Rural Bus Transportation,All GHGs,"kg CO2e/2022 USD, purchaser price#",0.566,0,0.566,485000,NA
339116,Dental Laboratories,All GHGs#,mg CO2e/kg,0.083,0,0.117,339116#,NA
424410,General Line Grocery Merchant Wholesaler%,All GHGs,ton CO2e,0.159,0,0.159,424400!,NA
327993,Mineral Wool Manufacturing,All GHGs,g CO2e/kg#,0.339,0.053,0.393,327993,NA
813212,Voluntary Health Organizations,All GHGs,kg CO2e/m2&,0.059,0,0.059,813A00,NA
423620,"Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers",All GHGs##,ton CO2e,0.083,0,0.083,423600,NA
335312,Motor and Generator Manufacturing,All GHGs#,CO2e/lb,0.133,0.019,0.152,335312,NA
622210,Psychiatric and Substance Abuse Hospitals,All GHGs#,"kg CO2e/2022 USD, purchaser price",0.145,0,0.145,622000!,NA
335129,Other Lighting Equipment Manufacturing,All GHGs%,ton CO2&,0.138,0.05,0.185,335120,NA
332322,Sheet Metal Work Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.195,0.026,0.221,332320,NA
423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",All GHGs#,lbs CO2e/m2,NA,0,0.07,423400,NA
339950,Sign Manufacturing,All GHGs#,"kg CO2e/2022 USD, purchaser price",0.187,0.06,0.25,339950,NA
212325,Clay and Ceramic and Refractory Minerals Mining,All GHGs,"kg CO2e/2022 USD, purchaser price#",0.184,0.125,0.309,2123A0,NA
236210,Industrial Building Construction,All GHG%,"kg CO2e/2022 USD, purchaser price",0.239,0,0.24,"230301, 233230",NA
335911,Storage Battery Manufacturing,All GHGs,lbs CO2e/m2,0.311,0.03,0.34,335911,NA
541191,Title Abstract and Settlement Offices,All GHG%,g CO2e/kg,0.041,0,0.041,54110#,NA
423710,Hardware Merchant Wholesaler%,All GHGs%,"kg CO2e/2022 USD, purchaser price&",0.108,0,0.11,423A00,NA
812922,One-Hour Photofinishing,All GHGs#,"kg CO2e/2022 USD, purchaser price#",0.111,0,0.111,81290#,NA
423110,Automobile and Other Motor Vehicle Merchant Wholesalers,All GHGs,"kg CO2e/2022 USD, purchaser price",0.115,0,0.115,423100#,NA
321918,Other Millwork (including Flooring%,All GHGs%,"kg CO2e/2022 USD, purchaser price",0.122,0.03,0.15,32191#,NA
326299,All Other Rubber Product Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.313,0.03,0.34,326290!,NA
424930,"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers",All GHG%,g CO2e/k&,0.144,0,0.144,424A00,NA
324110,Petroleum Refinerie%,All GHGs%,"kg CO2e/2022 USD, purchaser price#",0.248,0.022,0.27,32411#,NA
335122,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing!",All GHGs,ton CO2e,-9999999,0.05,0.185,33512#,NA
333244,Printing Machinery and Equipment Manufacturing!,All GHGs%,ton CO2e,0.166,0,0.185,33329A,NA
332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing!",All GHGs#,mg CO2e/k&,0.222,0.026,0.248,33272#,NA
611512,Flight Training,All GHG%,"kg CO2e/2022 USD, purchaser price",0.108,0,0.108,611B00,NA
336411,Aircraft Manufacturing,All GHGs#,kg CO2e/m2,0.131,0.009,0.14,336411#,NA
339992,Musical Instrument Manufacturing,All GHG%,"kg CO2e/2022 USD, purchaser price",0.121,0.06,0.182,339990,NA
311340,Nonchocolate Confectionery Manufacturing,All GHGs#,"kg CO2e/2022 USD, purchaser price",0.442,0,0.482,311300,NA
115112,"Soil Preparation, Planting, and Cultivatin%",All GHGs#,ton CO2e,0.384,0,0.384,115000,NA
336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturin%",All GHGs#,"kg CO2e/2022 USD, purchaser price",0.431,0.01,0.443,336992,NA
333996,Fluid Power Pump and Motor Manufacturing,All GHGs#,CO2e/lb#,0.182,0.02,0.202,33399B,NA
485111,Mixed Mode Transit Systems,All GHGs#,"kg CO2e/2022 USD, purchaser price#",0.566,0,0.566,485000,NA
325612,Polish and Other Sanitation Good Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.315,0,0.355,325610,NA
-9999999,Silver Ore Mining,All GHGs#,CO2e/lb,0.54,0.05,0.593,2122A#,NA
325314,Fertilizer (Mixing Only) Manufacturin%,All GHGs#,CO2e/lb,1.114,0.023,Inf,325310,NA
485991,Special Needs Transportation!,All GHGs%,"kg CO2e/2022 USD, purchaser price",0.566,0,0.566,485000,NA
327992,Ground or Treated Mineral and Earth Manufacturing,All GHGs#,"kg CO2e/2022 USD, purchaser price",0.375,0.12,0.497,32799#,NA
541840,Media Representatives%,All GHGs,"kg CO2e/2022 USD, purchaser price#",0.085,0,0.085,541800,NA
111339,Other Noncitrus Fruit Farming,All GHG%,"kg CO2e/2022 USD, purchaser price#",0.429,0.059,0.49,111300,NA
327120,Clay Building Material and Refractories Manufacturin%,All GHG%,kg CO2e/m&,0.399,0.052,0.45,327100,NA
112310,Chicken Egg Production%,All GHGs,"kg CO2e/2022 USD, purchaser pric&",0.407,0.031,0.44,112300,NA
337211,Wood Office Furniture Manufacturing,All GHGs,kg CO2e/m&,0.184,0.1,0.24,33721A,NA
811113,Automotive Transmission Repai%,All GHGs,"kg CO2e/2022 USD, purchaser price",0.103,0,0.103,81110#,NA
331523,Nonferrous Metal Die-Casting Foundries,All GHG%,"kg CO2e/2022 USD, purchaser price",0.73,0.025,0.46,331520,NA
238210,Electrical Contractors and Other Wiring Installation Contractors!,All GHGs#,ton CO2e,0.221,0,0.221,"230301, 230302, 233210, 233230, 233240, 233262, 2332A0, 2332D0, 233411, 233412, 2334A0#",NA
315280,Other Cut and Sew Apparel Manufacturin%,All GHGs%,ton CO2e#,0.06,0.06,0.12,315000,NA
811411,Home and Garden Equipment Repair and Maintenanc%,All GHGs#%,"kg CO2e/2022 USD, purchaser price",0.113,0,0.113,81140#,NA
515112,Radio Stations,All GHGs#,"kg CO2e/2022 USD, purchaser price",0.079,0,0.079,515100,NA
454210,Vending Machine Operators,All GHGs,"kg CO2e/2022 USD, purchaser pric&",0.094,0,0.09,454000,NA
334111,All GHGs,Electronic Computer Manufacturing,g CO2e/kg,0.03,0.03,0.058,334111,NA
424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers,All GHGs,CO2e/lb,0.144,0,0.144,424A0#,NA
-2755570,Ornamental and Architectural Metal Work Manufacturing!,All GHGs,"kg CO2e/2022 USD, purchaser price",0.195,0.026,0.221,332320,NA
311991,Perishable Prepared Food Manufacturin%,All GHGs,CO2e/lb,0.358,0.04,0.401,311990,NA
112519,Other Aquaculture,All GHGs,"kg CO2e/2022 USD, purchaser price",1.077,0.051,1.128,112A00,NA
115114,Postharvest Crop Activities (except Cotton Ginning),All GHGs,"kg CO2e/2022 USD, purchaser price",0.384,0,0.384,115000!,NA
335121,Residential Electric Lighting Fixture Manufacturing%,All GHG%,ton CO2e,0.138,0.047,0.185,335120,NA
111320,Citrus (except Orange) Groves!,All GHGs##,g CO2e/kg,0.429,0.06,0.49,111300,NA
333613,Mechanical Power Transmission Equipment Manufacturing,All GHGs#,ton CO2e,0.187,0,0.21,333613,NA
562910,Remediation Service%,All GHGs#,"kg CO2e/2022 USD, purchaser price",0.988,0,0.99,562000,NA
313310,Textile and Fabric Finishing Mills,All GHGs,ton CO2e,0.37,0.026,0.4,31330#,NA
444220,"Nursery, Garden Center, and Farm Supply Stores",All GHG%,"kg CO2e/2022 USD, purchaser price",0.087,0,0.087,444000#,NA
331315,"Aluminum Sheet, Plate, and Foil Manufacturin%",All GHGs#,g CO2e/kg,0.7,0,0.721,33131B,NA
812320,Drycleaning and Laundry Services (except Coin-Operated),All GHGs,CO2e/lb&,0.158,0,0.16,812300#,NA
811412,Appliance Repair and Maintenanc%,All GHGs#,"kg CO2e/2022 USD, purchaser price",0.113,0,0.113,811400,NA
327320,Ready-Mix Concrete Manufacturing!,All GHGs,"kg CO2e/2022 USD, purchaser price#",0.54,0.067,0.606,327320,NA
-Inf,Translation and Interpretation Services!,All GHGs,"kg CO2e/2022 USD, purchaser price",0.08,0,0.08,5419A0,NA
325312,Phosphatic Fertilizer Manufacturin%,All GHGs,"kg CO2e/2022 USD, purchaser price#",1.114,0.02,1.137,325310,NA
212325,Clay and Ceramic and Refractory Minerals Mining,All GHGs,"kg CO2e/2022 USD, purchaser price#",0.184,0.125,0.309,2123A#,NA
541921,"Photography Studios, Portrait",All GHG%,mg CO2e/k&,0.125,0,0.125,541920,NA
423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers",All GHGs#,"kg CO2e/2022 USD, purchaser price",0.108,0,0.11,423A00,NA
111411,Mushroom Productio%,All GHGs,"kg CO2e/2022 USD, purchaser pric&",0.266,0.041,0.307,111400,NA
332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive)",All GHGs,"kg CO2e/2022 USD, purchaser price",0.293,0,0.319,332119,NA
722513,Limited-Service Restaurants,All GHGs,"kg CO2e/2022 USD, purchaser price#",0.255,0,0.255,722211!,NA
424920,"Book, Periodical, and Newspaper Merchant Wholesalers",All GHGs,g CO2e/kg,0.144,0,0.144,424A00,NA
424910,Farm Supplies Merchant Wholesaler%,All GHGs#,"kg CO2e/2022 USD, purchaser price",0.144,0,0.144,424A00,NA
112930,Fur-Bearing Animal and Rabbit Production,All GHGs,"kg CO2e/2022 USD, purchaser pric&",1.077,0.1,1.128,112A00,NA
326111,Plastics Bag and Pouch Manufacturing!,All GHGs##,"kg CO2e/2022 USD, purchaser price",0.521,Inf,0.544,326110,NA
811112,Automotive Exhaust System Repair,All GHG%,"kg CO2e/2022 USD, purchaser price",0.103,0,0.103,811100,NA
448130,Children's and Infants' Clothing Stores,All GHGs%,"kg CO2e/2022 USD, purchaser price",0.138,0,0.138,44800#,NA
623220,Residential Mental Health and Substance Abuse Facilitie%,All GHGs#,mg CO2e/kg,0.129,0,0.13,623B00,NA
337211,Wood Office Furniture Manufacturin%,All GHGs,kg CO2e/m&,0.184,0.1,0.24,33721A,NA
488490,Other Support Activities for Road Transportation,All GHGs%,lbs CO2e/m2,0.162,0,0.162,48A000,NA
551111,Offices of Bank Holding Companies,All GHGs#,"kg CO2e/2022 USD, purchaser price#",0.084,0,0.084,550000#,NA
212311,Dimension Stone Mining and Quarrying,All GHGs,"kg CO2e/2022 USD, purchaser price",0.193,0.1,0.279,212310,NA
484210,Used Household and Office Goods Movin%,All GHGs#,"kg CO2e/2022 USD, purchaser price",0.595,0,0.595,484000#,NA
332111,Iron and Steel Forgin%,All GHGs,"kg CO2e/2022 USD, purchaser price",0.47,0.023,0.49,33211A,NA
238340,Tile and Terrazzo Contractors,All GHGs#,g CO2e/kg,0.221,0,0.221,"230301, 230302, 233210, 233230, 233240, 233262, 2332A0, 2332D0, 233411, 233412, 2334A0",NA
321212,Softwood Veneer and Plywood Manufacturing!,All GHGs,"kg CO2e/2022 USD, purchaser price&",0.187,0.021,0.208,321200!,NA
541714,Research and Development in Biotechnology (except Nanobiotechnology)!,All GHG%,"kg CO2e/2022 USD, purchaser price#",0.156,0,0.156,541700,NA
335122,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing!",All GHGs,ton CO2e,-9999999,0.05,0.185,33512#,NA
336112,Light Truck and Utility Vehicle Manufacturin%,All GHGs#,"kg CO2e/2022 USD, purchaser price#",0.241,0,0.268,336112!,NA
333924,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturin%",All GHG%,"kg CO2e/2022 USD, purchaser price",0.234,0.02,0.256,333920,NA
531210,Offices of Real Estate Agents and Brokers,All GHGs,"kg CO2e/2022 USD, purchaser price",0.246,0,0.246,531ORE,NA
453920,Art Dealer%,All GHGs,"kg CO2e/2022 USD, purchaser price",0.111,0,0.11,4B0000,NA
337125,Household Furniture (except Wood and Metal) Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.168,0.1,0.227,33712N,NA
339112,Surgical and Medical Instrument Manufacturin%,All GHGs#,g CO2e/k&,0.119,0,0.156,339112!,NA
488390,Other Support Activities for Water Transportation!,All GHGs#,g CO2e/k&,0.162,0,0.16,48A000,NA
523210,Securities and Commodity Exchanges,All GHGs#,g CO2e/kg,0.043,0,0.043,523A00,NA
713120,Amusement Arcades!,All GHGs%,"kg CO2e/2022 USD, purchaser pric&",0.167,0,0.167,71310#,NA
323117,Books Printin%,All GHGs#,CO2e/lb,0.202,0.034,0.236,323110,NA
531311,Residential Property Managers,All GHG%,kg CO2e/m2,0.246,0,0.246,531OR#,NA
325520,Adhesive Manufacturing,All GHGs##,"kg CO2e/2022 USD, purchaser price#",0.502,0.029,0.53,32552#,NA
213112,Support Activities for Oil and Gas Operations!,All GHGs#,g CO2e/kg#,0.372,0,0.372,21311A,NA
551114,"Corporate, Subsidiary, and Regional Managing Offices",All GHGs##,g CO2e/kg,0.084,0,0.08,550000,NA
483212,Inland Water Passenger Transportation,All GHGs,"kg CO2e/2022 USD, purchaser price#",0.816,0,0.816,48300#,NA
623210,Residential Intellectual and Developmental Disability Facilities!,All GHGs,"kg CO2e/2022 USD, purchaser price",0.129,0,0.13,623B00,NA
532411,"Commercial Air, Rail, and Water Transportation Equipment Rental and Leasin%",All GHGs,g CO2e/kg,0.106,0,0.106,532400!,NA
423920,Toy and Hobby Goods and Supplies Merchant Wholesaler%,All GHGs#,"kg CO2e/2022 USD, purchaser price",0.108,0,0.108,423A00,NA
212111,Bituminous Coal and Lignite Surface Mining,All GHGs,"kg CO2e/2022 USD, purchaser price#",0.747,0.094,0.841,21210#,NA
523120,Securities Brokerage,All GHGs#,"kg CO2e/2022 USD, purchaser price",0.043,0,0.043,523A00,NA
112511,Finfish Farming and Fish Hatcheries,All GHGs#,g CO2e/k&,1.077,0.1,1.13,112A00#,NA
722410,Drinking Places (Alcoholic Beverages),All GHGs,"kg CO2e/2022 USD, purchaser price",0.132,0,0.13,722A00,NA
312120,Breweries,All GHGs,kg CO2e/m&,0.209,0.07,0.274,312120,NA
