2017.NAICS.Code,2017.NAICS.Title,GHG,Unit,Supply.Chain.Emission.Factors.without.Margins,Margins.of.Supply.Chain.Emission.Factors,Supply.Chain.Emission.Factors.with.Margins,Reference.USEEIO.Code
"322,122",Newsprint Mills,All GHGs,"kg CO2e/2022 USD, purchaser price",0.603,0.0,0.649,322120
"322,130",Paperboard Mills,All GHGs,"kg CO2e/2022 USD, purchaser price",0.789,0.0,0.83,322130
"322,211",Corrugated and Solid Fiber Box Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.449,0.03,0.479,322210
"322,212",Folding Paperboard Box Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.449,0.0,0.479,322210
"322,219",Other Paperboard Container Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.449,0.03,0.479,322210
"322,219",Other Paperboard Container Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.449,0.03,0.479,322210
"322,220",Paper Bag and Coated and Treated Paper Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.33,0.034,0.36,322220
"322,230",Stationery Product Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.265,0.0,0.3,322230
"322,291",Sanitary Paper Product Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.275,0.065,0.34,322291
"322,299",All Other Converted Paper Product Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.305,0.04,0.343,322290
"323,111",Commercial Printing (except Screen and Books),All GHGs,"kg CO2e/2022 USD, purchaser price",0.202,0.034,0.236,323110
"323,113",Commercial Screen Printing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.202,0.03,0.236,323110
"323,117",Books Printin,All GHGs,"kg CO2e/2022 USD, purchaser price",0.202,0.034,0.236,323110
"323,120",Support Activites for Printing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.214,0.023,0.24,323120
"324,110",Petroleum Refinerie,All GHGs,"kg CO2e/2022 USD, purchaser price",0.248,0.022,0.27,324110
"324,121",Asphalt Paving Mixture and Block Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",1.093,0.03,1.121,324121
"324,191",Petroleum Lubricating Oil and Grease Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.359,0.032,0.39,324190
"324,199",All Other Petroleum and Coal Products Manufacturin,All GHGs,"kg CO2e/2022 USD, purchaser price",0.359,0.032,0.391,324190
"325,110",Petrochemical Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.794,0.016,0.811,325110
"325,120",Industrial Gas Manufacturing,All GHG,"kg CO2e/2022 USD, purchaser price",1.163,0.0,1.211,325120
"325,130",Synthetic Dye and Pigment Manufacturin,All GHGs,"kg CO2e/2022 USD, purchaser price",0.406,0.0,0.432,325130
"325,180",Other Basic Inorganic Chemical Manufacturin,All GHG,"kg CO2e/2022 USD, purchaser price",0.974,0.0,1.01,325180
"325,193",Ethyl Alcohol Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",1.166,0.02,1.18,325190
"325,194","Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing",All GHGs,"kg CO2e/2022 USD, purchaser price",1.166,0.02,1.184,325190
"325,211",Plastics Material and Resin Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",1.022,0.024,1.045,325211
"325,212",Synthetic Rubber Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.886,0.02,0.902,32520A
"325,220",Artificial and Synthetic Fibers and Filaments Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.886,0.02,0.902,32520A
"325,311",Nitrogenous Fertilizer Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",1.114,0.023,1.137,325310
"325,312",Phosphatic Fertilizer Manufacturin,All GHGs,"kg CO2e/2022 USD, purchaser price",1.114,0.02,1.137,325310
"325,320",Pesticide and Other Agricultural Chemical Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.433,0.031,0.463,325320
"325,411",Medicinal and Botanical Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.151,0.037,0.19,325411
"325,412",Pharmaceutical Preparation Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.045,0.053,0.099,325412
"325,413",In-Vitro Diagnostic Substance Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.161,0.0,0.183,325413
"325,414",Biological Product (except Diagnostic) Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.126,0.025,0.15,325414
"325,510",Paint and Coating Manufacturin,All GHGs,"kg CO2e/2022 USD, purchaser price",0.264,0.03,0.291,325510
"325,520",Adhesive Manufacturin,All GHGs,"kg CO2e/2022 USD, purchaser price",0.502,0.029,0.53,325520
"325,520",Adhesive Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.502,0.029,0.53,325520
"325,611",Soap and Other Detergent Manufacturin,All GHGs,"kg CO2e/2022 USD, purchaser price",0.315,0.0,0.36,325610
"325,612",Polish and Other Sanitation Good Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.315,0.0,0.355,325610
"325,613",Surface Active Agent Manufacturin,All GHGs,"kg CO2e/2022 USD, purchaser price",0.315,0.04,0.355,325610
"325,620",Toilet Preparation Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.136,0.06,0.19,325620
"325,910",Printing Ink Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.355,0.0,0.386,325910
"325,920",Explosives Manufacturing,All GHG,"kg CO2e/2022 USD, purchaser price",0.472,0.028,0.5,32590A
"325,991",Custom Compounding of Purchased Resin,All GHGs,"kg CO2e/2022 USD, purchaser price",0.472,0.028,0.5,32590A
"325,992","Photographic Film, Paper, Plate, and Chemical Manufacturing",All GHGs,"kg CO2e/2022 USD, purchaser price",0.472,0.03,0.5,32590A
"325,998",All Other Miscellaneous Chemical Product and Preparation Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.472,0.028,0.5,32590A
"326,112",Plastics Packaging Film and Sheet (including Laminated) Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.521,0.0,0.544,326110
"326,113",Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.521,0.0,0.54,326110
"326,122",Plastics Pipe and Pipe Fitting Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.332,0.019,0.351,326120
"326,130","Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturin",All GHGs,"kg CO2e/2022 USD, purchaser price",0.441,0.0,0.46,326130
"326,130","Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",All GHGs,"kg CO2e/2022 USD, purchaser price",0.441,0.0,0.46,326130
"326,140",Polystyrene Foam Product Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.247,0.024,0.271,326140
"326,150",Urethane and Other Foam Product (except Polystyrene) Manufacturin,All GHGs,"kg CO2e/2022 USD, purchaser price",0.318,0.0,0.36,326150
"326,150",Urethane and Other Foam Product (except Polystyrene) Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.318,0.0,0.36,326150
"326,160",Plastics Bottle Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.553,0.03,0.579,326160
"326,191",Plastics Plumbing Fixture Manufacturin,All GHGs,"kg CO2e/2022 USD, purchaser price",0.344,0.0,0.371,326190
"326,191",Plastics Plumbing Fixture Manufacturing,All GHG,"kg CO2e/2022 USD, purchaser price",0.344,0.0,0.371,326190
"326,199",All Other Plastics Product Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.344,0.027,0.371,326190
"326,211",Tire Manufacturing (except Retreading),All GHGs,"kg CO2e/2022 USD, purchaser price",0.233,0.043,0.28,326210
"326,212",Tire Retreading,All GHGs,"kg CO2e/2022 USD, purchaser price",0.233,0.0,0.276,326210
"326,220",Rubber and Plastics Hoses and Belting Manufacturing,All GHG,"kg CO2e/2022 USD, purchaser price",0.4,0.0,0.309,326220
"326,291",Rubber Product Manufacturing for Mechanical Use,All GHGs,"kg CO2e/2022 USD, purchaser price",0.313,0.0,0.343,326290
"326,299",All Other Rubber Product Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.313,0.03,0.34,326290
"326,299",All Other Rubber Product Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.313,0.03,0.34,326290
"327,110","Pottery, Ceramics, and Plumbing Fixture Manufacturing",All GHGs,"kg CO2e/2022 USD, purchaser price",0.399,0.1,0.45,327100
"327,120",Clay Building Material and Refractories Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.399,0.052,0.45,327100
"327,120",Clay Building Material and Refractories Manufacturin,All GHG,"kg CO2e/2022 USD, purchaser price",0.399,0.052,0.45,327100
"327,211",Flat Glass Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.537,0.06,0.597,327200
"327,212",Other Pressed and Blown Glass and Glassware Manufacturin,All GHGs,"kg CO2e/2022 USD, purchaser price",0.537,0.06,0.6,327200
"327,213",Glass Container Manufacturin,All GHGs,"kg CO2e/2022 USD, purchaser price",0.537,0.06,0.6,327200
"327,215",Glass Product Manufacturing Made of Purchased Glass,All GHGs,"kg CO2e/2022 USD, purchaser price",0.537,0.06,0.597,327200
"327,310",Cement Manufacturin,All GHGs,"kg CO2e/2022 USD, purchaser price",3.846,0.078,3.924,327310
"327,320",Ready-Mix Concrete Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.54,0.067,0.606,327320
"327,331",Concrete Block and Brick Manufacturing,All GHG,"kg CO2e/2022 USD, purchaser price",0.264,0.063,0.33,327330
"327,332",Concrete Pipe Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.264,0.06,0.328,327330
"327,410",Lime Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",1.56,0.06,1.623,327400
"327,420",Gypsum Product Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",1.56,0.063,1.62,327400
"327,420",Gypsum Product Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",1.56,0.063,1.62,327400
"327,910",Abrasive Product Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.134,0.1,0.187,327910
"327,991",Cut Stone and Stone Product Manufacturin,All GHGs,"kg CO2e/2022 USD, purchaser price",0.148,0.0,0.195,327991
"327,992",Ground or Treated Mineral and Earth Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.375,0.12,0.497,327990
"327,993",Mineral Wool Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.339,0.053,0.393,327993
"327,999",All Other Miscellaneous Nonmetallic Mineral Product Manufacturin,All GHGs,"kg CO2e/2022 USD, purchaser price",0.719,0.068,0.787,327999
"331,110",Iron and Steel Mills and Ferroalloy Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.769,0.0,0.787,331110
"331,210",Iron and Steel Pipe and Tube Manufacturing from Purchased Stee,All GHGs,"kg CO2e/2022 USD, purchaser price",0.343,0.017,0.36,331200
"331,221",Rolled Steel Shape Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.343,0.02,0.36,331200
"331,222",Steel Wire Drawing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.343,0.017,0.36,331200
"331,313",Alumina Refining and Primary Aluminum Production,All GHGs,"kg CO2e/2022 USD, purchaser price",1.003,0.014,1.02,331313
"331,315","Aluminum Sheet, Plate, and Foil Manufacturin",All GHGs,"kg CO2e/2022 USD, purchaser price",0.7,0.0,0.721,33131B
"331,318","Other Aluminum Rolling, Drawing, and Extruding",All GHGs,"kg CO2e/2022 USD, purchaser price",0.7,0.0,0.721,33131B
"331,410",Nonferrous Metal (except Aluminum) Smelting and Refinin,All GHGs,"kg CO2e/2022 USD, purchaser price",0.408,0.016,0.423,331410
"331,420","Copper Rolling, Drawing, Extruding, and Alloying",All GHGs,"kg CO2e/2022 USD, purchaser price",0.316,0.019,0.33,331420
"331,491","Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding",All GHGs,"kg CO2e/2022 USD, purchaser price",0.414,0.02,0.431,331490
"331,492","Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)",All GHG,"kg CO2e/2022 USD, purchaser price",0.414,0.02,0.431,331490
"331,511",Iron Foundries,All GHGs,"kg CO2e/2022 USD, purchaser price",0.349,0.0,0.369,331510
"331,512",Steel Investment Foundrie,All GHG,"kg CO2e/2022 USD, purchaser price",0.349,0.0,0.369,331510
"331,513",Steel Foundries (except Investment),All GHGs,"kg CO2e/2022 USD, purchaser price",0.349,0.02,0.37,331510
"331,523",Nonferrous Metal Die-Casting Foundries,All GHG,"kg CO2e/2022 USD, purchaser price",0.73,0.025,0.46,331520
"331,524",Aluminum Foundries (except Die-Casting,All GHGs,"kg CO2e/2022 USD, purchaser price",0.438,0.03,0.462,331520
"331,529",Other Nonferrous Metal Foundries (except Die-Casting),All GHGs,"kg CO2e/2022 USD, purchaser price",0.438,0.0,0.462,331520
"331,529",Other Nonferrous Metal Foundries (except Die-Casting),All GHGs,"kg CO2e/2022 USD, purchaser price",0.438,0.0,0.462,331520
"332,111",Iron and Steel Forgin,All GHGs,"kg CO2e/2022 USD, purchaser price",0.47,0.023,0.49,33211A
"332,112",Nonferrous Forging,All GHGs,"kg CO2e/2022 USD, purchaser price",0.47,0.0,0.493,33211A
"332,114",Custom Roll Forming,All GHGs,"kg CO2e/2022 USD, purchaser price",0.349,0.0,0.36,332114
"332,117",Powder Metallurgy Part Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.47,0.0,0.493,33211A
"332,119","Metal Crown, Closure, and Other Metal Stamping (except Automotive)",All GHGs,"kg CO2e/2022 USD, purchaser price",0.293,0.0,0.319,332119
"332,215","Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing",All GHGs,"kg CO2e/2022 USD, purchaser price",0.174,0.0,0.22,332200
"332,216",Saw Blade and Handtool Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.174,0.049,0.223,332200
"332,311",Prefabricated Metal Building and Component Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.246,0.017,0.262,332310
"332,311",Prefabricated Metal Building and Component Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.246,0.017,0.262,332310
"332,312",Fabricated Structural Metal Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.246,0.017,0.262,332310
"332,313",Plate Work Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.246,0.017,0.26,332310
"332,321",Metal Window and Door Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.195,0.0,0.22,332320
"332,322",Sheet Metal Work Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.195,0.026,0.221,332320
"332,410",Power Boiler and Heat Exchanger Manufacturing,All GHG,"kg CO2e/2022 USD, purchaser price",0.182,0.027,0.209,332410
"332,420",Metal Tank (Heavy Gauge) Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.267,0.012,0.279,332420
"332,431",Metal Can Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.302,0.0,0.318,332430
"332,439",Other Metal Container Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.302,0.016,0.318,332430
"332,510",Hardware Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.157,0.034,0.191,332500
"332,613",Spring Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.219,0.01,0.233,332600
"332,618",Other Fabricated Wire Product Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.219,0.014,0.233,332600
"332,710",Machine Shops,All GHGs,"kg CO2e/2022 USD, purchaser price",0.262,0.016,0.28,332710
"332,721",Precision Turned Product Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.222,0.026,0.248,332720
"332,721",Precision Turned Product Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.222,0.026,0.248,332720
"332,722","Bolt, Nut, Screw, Rivet, and Washer Manufacturing",All GHGs,"kg CO2e/2022 USD, purchaser price",0.222,0.026,0.248,332720
"332,811",Metal Heat Treating,All GHGs,"kg CO2e/2022 USD, purchaser price",0.368,0.015,0.382,332800
"332,812","Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers",All GHGs,"kg CO2e/2022 USD, purchaser price",0.368,0.0,0.38,332800
"332,813","Electroplating, Plating, Polishing, Anodizing, and Coloring",All GHGs,"kg CO2e/2022 USD, purchaser price",0.368,0.0,0.382,332800
"332,911",Industrial Valve Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.146,0.027,0.17,33291A
"332,912",Fluid Power Valve and Hose Fitting Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.146,0.03,0.173,332910
"332,913",Plumbing Fixture Fitting and Trim Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.126,0.0,0.171,332913
"332,919",Other Metal Valve and Pipe Fitting Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.146,0.0,0.173,33291A
"332,991",Ball and Roller Bearing Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.179,0.0,0.203,332991
"332,992",Small Arms Ammunition Manufacturin,All GHGs,"kg CO2e/2022 USD, purchaser price",0.115,0.054,0.168,332990
"332,993",Ammunition (except Small Arms) Manufacturin,All GHGs,"kg CO2e/2022 USD, purchaser price",0.115,0.05,0.168,33299A
"332,994","Small Arms, Ordnance, and Ordnance Accessories Manufacturing",All GHGs,"kg CO2e/2022 USD, purchaser price",0.115,0.054,0.168,33299A
"332,996",Fabricated Pipe and Pipe Fitting Manufacturing,All GHG,"kg CO2e/2022 USD, purchaser price",0.212,0.03,0.238,332996
"332,999",All Other Miscellaneous Fabricated Metal Product Manufacturin,All GHGs,"kg CO2e/2022 USD, purchaser price",0.248,0.024,0.272,332999
"333,111",Farm Machinery and Equipment Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.191,0.029,0.22,333111
"333,112",Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.052,0.1,0.12,333112
"333,120",Construction Machinery Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.201,0.0,0.228,333120
"333,131",Mining Machinery and Equipment Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.175,0.044,0.22,333130
"333,132",Oil and Gas Field Machinery and Equipment Manufacturing,All GHG,"kg CO2e/2022 USD, purchaser price",0.175,0.04,0.22,333130
"333,241",Food Product Machinery Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.166,0.0,0.18,33329A
"333,242",Semiconductor Machinery Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.13,0.02,0.15,333242
"333,243","Sawmill, Woodworking, and Paper Machinery Manufacturing",All GHGs,"kg CO2e/2022 USD, purchaser price",0.166,0.019,0.185,33329A
"333,244",Printing Machinery and Equipment Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.166,0.0,0.185,33329A
"333,249",Other Industrial Machinery Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.166,0.019,0.185,33329A
"333,314",Optical Instrument and Lens Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.152,0.0,0.175,333314
"333,316",Photographic and Photocopying Equipment Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.085,0.05,0.135,333310
"333,318",Other Commercial and Service Industry Machinery Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.171,0.0,0.205,333318
"333,413",Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.184,0.025,0.21,333413
"333,414",Heating Equipment (except Warm Air Furnaces) Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.138,0.038,0.176,333414
"333,415",Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.156,0.028,0.184,333415
"333,511",Industrial Mold Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.236,0.025,0.26,333511
"333,511",Industrial Mold Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.236,0.025,0.26,333511
"333,514","Special Die and Tool, Die Set, Jig, and Fixture Manufacturing",All GHGs,"kg CO2e/2022 USD, purchaser price",0.184,0.026,0.21,333514
"333,515",Cutting Tool and Machine Tool Accessory Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.023,0.184,0.207,33351B
"333,517",Machine Tool Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.176,0.0,0.199,333510
"333,519",Rolling Mill and Other Metalworking Machinery Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.184,0.023,0.21,33351B
"333,611",Turbine and Turbine Generator Set Units Manufacturin,All GHGs,"kg CO2e/2022 USD, purchaser price",0.965,0.024,0.2,333610
"333,612","Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing",All GHGs,"kg CO2e/2022 USD, purchaser price",0.163,0.016,0.18,333612
"333,613",Mechanical Power Transmission Equipment Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.187,0.0,0.21,333613
"333,613",Mechanical Power Transmission Equipment Manufacturin,All GHGs,"kg CO2e/2022 USD, purchaser price",0.187,0.0,0.21,333613
"333,618",Other Engine Equipment Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.273,0.024,0.297,333618
"333,912",Air and Gas Compressor Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.158,0.0,0.177,333910
"333,914","Measuring, Dispensing, and Other Pumping Equipment Manufacturing",All GHGs,"kg CO2e/2022 USD, purchaser price",0.223,0.0,0.223,333914
"333,921",Elevator and Moving Stairway Manufacturin,All GHGs,"kg CO2e/2022 USD, purchaser price",0.234,0.022,0.256,333920
"333,921",Elevator and Moving Stairway Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.234,0.022,0.256,333920
"333,922",Conveyor and Conveying Equipment Manufacturin,All GHGs,"kg CO2e/2022 USD, purchaser price",0.234,0.02,0.256,333920
"333,923","Overhead Traveling Crane, Hoist, and Monorail System Manufacturin",All GHGs,"kg CO2e/2022 USD, purchaser price",0.234,0.022,0.256,333920
"333,924","Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturin",All GHG,"kg CO2e/2022 USD, purchaser price",0.234,0.02,0.256,333920
"333,991",Power-Driven Handtool Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.083,0.053,0.136,333991
"333,992",Welding and Soldering Equipment Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.228,0.021,0.249,33399A
"333,993",Packaging Machinery Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.113,0.023,0.136,333993
"333,994",Industrial Process Furnace and Oven Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.168,0.02,0.19,333994
"333,995",Fluid Power Cylinder and Actuator Manufacturing,All GHG,"kg CO2e/2022 USD, purchaser price",0.182,0.021,0.2,33399B
"333,996",Fluid Power Pump and Motor Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.182,0.02,0.202,33399B
"333,999",All Other Miscellaneous General Purpose Machinery Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.228,0.0,0.25,33399A
"334,111",All GHGs,Electronic Computer Manufacturing,"kg CO2e/2022 USD, purchaser price",0.03,0.03,0.058,334111
"334,118",Computer Terminal and Other Computer Peripheral Equipment Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.116,0.03,0.14,334110
"334,210",Telephone Apparatus Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.051,0.04,0.096,334210
"334,220",Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,All GHG,"kg CO2e/2022 USD, purchaser price",0.065,0.0,0.111,334220
"334,220",Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.065,0.0,0.111,334220
"334,290",Other Communications Equipment Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.038,0.042,0.08,334290
"334,310",Audio and Video Equipment Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.043,0.0,0.081,334300
"334,413",Semiconductor and Related Device Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.188,0.0,0.215,334410
"334,416","Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",All GHG,"kg CO2e/2022 USD, purchaser price",0.08,0.02,0.098,33441A
"334,417",Electronic Connector Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.08,0.0,0.098,33441A
"334,418",Printed Circuit Assembly (Electronic Assembly) Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.068,0.033,0.101,334418
"334,419",Other Electronic Component Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.08,0.019,0.098,334410
"334,510",Electromedical and Electrotherapeutic Apparatus Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.087,0.05,0.135,334510
"334,511","Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",All GHGs,"kg CO2e/2022 USD, purchaser price",0.052,0.0,0.071,334511
"334,511","Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",All GHGs,"kg CO2e/2022 USD, purchaser price",0.052,0.0,0.071,334511
"334,513","Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",All GHGs,"kg CO2e/2022 USD, purchaser price",0.048,0.0,0.063,334513
"334,514",Totalizing Fluid Meter and Counting Device Manufacturin,All GHG,"kg CO2e/2022 USD, purchaser price",0.063,0.0,0.084,334514
"334,515",Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals,All GHGs,"kg CO2e/2022 USD, purchaser price",0.055,0.024,0.079,334515
"334,516",Analytical Laboratory Instrument Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.078,0.024,0.102,334516
"334,516",Analytical Laboratory Instrument Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.078,0.024,0.102,334516
"334,517",Irradiation Apparatus Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.097,0.038,0.135,334517
"334,517",Irradiation Apparatus Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.097,0.038,0.135,334517
"334,519",Other Measuring and Controlling Device Manufacturing,All GHG,"kg CO2e/2022 USD, purchaser price",0.044,0.0,0.09,33451A
"334,613",Blank Magnetic and Optical Recording Media Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.043,0.021,0.063,334610
"334,614","Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing",All GHGs,"kg CO2e/2022 USD, purchaser price",0.043,0.021,0.063,334610
"335,110",Electric Lamp Bulb and Part Manufacturin,All GHGs,"kg CO2e/2022 USD, purchaser price",0.099,0.074,0.17,335110
"335,121",Residential Electric Lighting Fixture Manufacturing,All GHG,"kg CO2e/2022 USD, purchaser price",0.138,0.047,0.185,335120
"335,129",Other Lighting Equipment Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.138,0.05,0.185,335120
"335,210",Small Electrical Appliance Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.106,0.051,0.157,335210
